id,title,tags,views,engagement_rate,wpi_score,ocr_text_density,is_success
BbknnYkGKLY,Cara BERPIKIR KRITIS Biar Nggak Gampang Dibodohi!,[],187428,0.05419147619352498,54.191476193524984,1,1
qJE6HNhldXo,On Marissa's Mind: Berpikir Kritis,"['critical thinking', 'berpikir kritis', 'mindfulness', 'awareness', 'self awareness', 'self conscious', 'logic thinking', 'positivity', 'kritis', 'marissa anita', 'great minds', 'cerdas', 'pikiran', 'hoax', 'pseudo science', 'click bait']",424583,0.05019042213183288,50.19042213183288,0,0
6vbYkN_Hqdg,Cara Mengembangkan Kemampuan Berpikir Kritis (Motivasi Belajar dan Menulis),"['Satu Persen', 'Channel Youtube Edukasi dan Pengembangan Diri', 'Channel Pendidikan', 'pengembangan diri', 'berpikir kritis', 'motivasi sukses', 'video motivasi', 'motivasi belajar', 'Motivasi menulis', 'cara berpikir kritis', 'kemampuan berpikir kritis', 'berpikir kritis dalam islam', 'channel edukasi']",237933,0.05046798888762803,50.46798888762803,1,0
DOX2gZp6D2U,Gimana Caranya Berpikir Rasional?,"['kesimpulan', 'rasional', 'kokbisa', 'ilmiah', 'hujan tanda tanya', 'education channel', 'channel edukasi', 'edukasi', 'education', 'hutata', 'review buku', 'hutata baca', 'seni berpikir jernih', 'cara berpikir jernih', 'rekomendasi buku', 'pengembangan diri', 'self development books', 'buku pengembangan diri', 'cara berpikir dengan baik', 'doa ujian', 'guna matematika', 'indonesiamakincerdas']",266010,0.030280816510657494,30.280816510657495,1,0
Z6HSk0YvG2k,Cara berpikir kritis ~ Dr. Bagus Muljadi,[],68213,0.040432175684986735,40.43217568498673,1,0
NVN0vQI3Zys,Pentingnya berpikir kritis menurut Roxky Gerung #rekomendasibuku #BacaAjaDulu #RockyGerung,[],29551,0.052959290717742205,52.959290717742206,0,0
dkZKWO_exlQ,Kemampuan berpikir kritis semakin berkurang.,"['gita wirjawan', 'endgame', 'endgame gita wirjawan', 'tokoh nasional', 'daging semua', 'Berpikir kritis', 'kabur aja dulu', 'pendidikan indonesia', 'anak muda indonesia', 'anxious generation', 'the anxious generation', 'Jonathan David Haidt']",14648,0.0776215182960131,77.62151829601311,0,1
ayHjVqyZqLg,Cara terbaik untuk belajar berpikir kritis ll Jordan Peterson Sub Bahasa Indonesia,[],94687,0.0840453282921626,84.04532829216261,1,1
xKgqd7t2JPM,Sipaling Kritis. #shorts,[],340083,0.06640731821349494,66.40731821349493,0,1
I67StDDE_bo,ISLAM MENGAJARKAN BERPIKIR KRITIS,[],3522,0.03492333901192504,34.923339011925044,1,0
20GtDzNt-8o,6 Kebiasaan Orang Ber IQ Tinggi. #motivation #shorts,[],24727,0.03943058195494803,39.43058195494803,0,0
QQzglsKVHNQ,Saran dr. Tirta untuk meningkatkan IQ. @TirtaPengPengPeng,"['gita wirjawan', 'endgame', 'endgame gita wirjawan', 'tokoh nasional', 'daging semua']",46372,0.04386267575260933,43.862675752609334,1,0
TU3OMoVlPW4,Cara melatih otak agar cerdas,[],10723,0.0320805744661009,32.0805744661009,0,0
uXYa7DgG4KQ,4 Solusi Efektif untuk Mengatasi IQ Rendah Dijelaskan dalam 3 menit!!,"['simpel', 'penjelasan']",1003,0.09172482552342971,91.72482552342971,1,1
_Xk_wUG3OxQ,Cara jadi orang genius,[],522184,0.07698435800407519,76.98435800407519,0,1
Zc787B-W59M,PROF STELLA CHRISTIE : CARA BELAJAR AGAR PENGETAHUAN TETAP MELEKAT DI MEMORI ‼️,[],1012675,0.04233836127089145,42.338361270891454,0,0
Xkkg31B-RJ8,Berbagai Hobi yang Bisa Meningkatkan IQ,[],2424,0.0,0.0,1,0
bIWAyEzCE4E,🔥7 Cara Untuk Meningkatkan Iq Anak Yang Sudah Terbukti|permainan yang meningkatkan iq,"['vitamin untuk meningkatkan iq anak', 'cara meningkatkan kecerdasan anak usia 7 tahun', 'cara meningkatkan iq anak smp', 'cara meningkatkan iq menurut islam', 'cara meningkatkan iq anak remaja', 'cara meningkatkan iq orang dewasa', 'cara meningkatkan iq hingga 200', 'cara meningkatkan iq dengan cepat', 'cara mencerdaskan otak anak menurut islam', 'cara meningkatkan iq anak sd', 'susu untuk kecerdasan anak usia 7 tahun', 'cara meningkatkan kecerdasan otak menurut islam']",412,0.0048543689320388345,4.854368932038835,1,0
FxK69NYk3AI,Tes Kemampuan Otak,[],7055633,0.03281576578600389,32.815765786003894,0,0
tbdts-vTOCg,3 Faktor Yang Membuat IQ Anda Melonjak | Cara Meningkatkan IQ | Mind Hacking,[],6615,0.04383975812547241,43.83975812547241,1,0
hmxa1AiRj2Q,Ini Bedanya Logika Dan Rasionalitas,[],188565,0.10229363879829237,102.29363879829236,0,1
XtmrbxLOz1c,TES LOGIKA MATEMATIKA | MIPANESA #matematika #mahasiswa #deddycorbuizer,[],24245,0.017364405031965353,17.364405031965354,0,0
X7sNtufLJ-0,Logika Sederhana Gus Baha. #gusbaha #ngajigusbaha #gusbahaterbaru #selfreminder #shorts #fyp,[],1910,0.03455497382198953,34.55497382198953,0,0
